year,month,gender,age,ICD10,death
2010,1,F,65,200,0
2010,1,F,66,200,452
2010,1,F,67,200,282
2010,1,F,68,200,5
2010,1,F,69,200,1
2010,1,F,70,200,1621
2010,1,F,71,200,634
2010,1,F,72,200,0
2010,1,F,73,200,58
2010,1,F,74,200,112
2010,1,F,75,200,21
2010,1,F,76,200,7368
2010,1,F,77,200,22732
2010,1,F,78,200,801
2010,1,F,79,200,2367
2010,1,F,80,200,423
2010,1,F,81,200,672
2010,1,F,82,200,6223
2010,1,F,83,200,43175
2010,1,F,84,200,3072
2010,1,F,85,200,2450
2010,1,M,65,200,5794
2010,1,M,66,200,2002
2010,1,M,67,200,1631
2010,1,M,68,200,1419
2010,1,M,69,200,80
2010,1,M,70,200,202
2010,1,M,71,200,762
2010,1,M,72,200,2810
2010,1,M,73,200,902
2010,1,M,74,200,42
2010,1,M,75,200,6
2010,1,M,76,200,0
2010,1,M,77,200,80
2010,1,M,78,200,10471
2010,1,M,79,200,7490
2010,1,M,80,200,1936
2010,1,M,81,200,225
2010,1,M,82,200,4
2010,1,M,83,200,23
2010,1,M,84,200,98
2010,1,M,85,200,549
2010,2,F,65,200,0
2010,2,F,66,200,415
2010,2,F,67,200,255
2010,2,F,68,200,7
2010,2,F,69,200,0
2010,2,F,70,200,1425
2010,2,F,71,200,529
2010,2,F,72,200,1
2010,2,F,73,200,47
2010,2,F,74,200,77
2010,2,F,75,200,21
2010,2,F,76,200,6748
2010,2,F,77,200,20424
2010,2,F,78,200,704
2010,2,F,79,200,2246
2010,2,F,80,200,381
2010,2,F,81,200,576
2010,2,F,82,200,5253
2010,2,F,83,200,39248
2010,2,F,84,200,2731
2010,2,F,85,200,2102
2010,2,M,65,200,5315
2010,2,M,66,200,1906
2010,2,M,67,200,1525
2010,2,M,68,200,1309
2010,2,M,69,200,54
2010,2,M,70,200,182
2010,2,M,71,200,648
2010,2,M,72,200,2538
2010,2,M,73,200,827
2010,2,M,74,200,46
2010,2,M,75,200,5
2010,2,M,76,200,0
2010,2,M,77,200,68
2010,2,M,78,200,9149
2010,2,M,79,200,6567
2010,2,M,80,200,1594
2010,2,M,81,200,202
2010,2,M,82,200,4
2010,2,M,83,200,19
2010,2,M,84,200,74
2010,2,M,85,200,489
2010,3,F,65,200,0
2010,3,F,66,200,503
